Time,Hip x,Hip y,Hip likelihood,Knee x,Knee y,Knee likelihood,Ankle x,Ankle y,Ankle likelihood,Heel (ventral) x,Heel (ventral) y,Heel (ventral) likelihood,Instep (dorsal) x,Instep (dorsal) y,Instep (dorsal) likelihood,"Toe 1 (Proximal “Thumb"") x","Toe 1 (Proximal “Thumb"") y","Toe 1 (Proximal “Thumb"") likelihood",Toe 2 x,Toe 2 y,Toe 2 likelihood,Toe 3 (Middle) x,Toe 3 (Middle) y,Toe 3 (Middle) likelihood,Toe 4 x,Toe 4 y,Toe 4 likelihood,"Toe 5 (Distal “Pinky"") x","Toe 5 (Distal “Pinky"") y","Toe 5 (Distal “Pinky"") likelihood"
627,898.9585571289060,315.0083312988280,0.48086047172546400,559.8873291015630,584.5672607421880,0.9727423787117000,560.37353515625,796.345458984375,0.9776819944381710,567.8765258789060,860.6749267578130,0.9965658783912660,465.3203430175780,865.964111328125,0.9839275479316710,409.11566162109400,954.3428344726560,0.2820817828178410,360.634521484375,952.2703247070310,0.04671291261911390,305.6455993652340,958.9869995117190,0.14254799485206600,298.681640625,968.1712036132810,0.9966707825660710,368.3093566894530,980.2337036132810,0.9967240691185000
628,898.9585571289060,315.0072021484380,0.4814685881137850,559.8873291015630,584.537109375,0.9725533723831180,560.401611328125,796.3189086914060,0.9778277277946470,568.6296997070310,860.3060302734380,0.9965388774871830,465.3203430175780,865.964111328125,0.9819210171699520,409.11566162109400,954.3428344726560,0.29836153984069800,360.634521484375,952.2703247070310,0.05423888936638830,338.8006591796880,975.07958984375,0.11300793290138200,298.681640625,968.1712036132810,0.996056079864502,368.3093566894530,980.2337036132810,0.9953331351280210
629,898.981689453125,315.00714111328100,0.48125365376472500,559.8873291015630,584.5082397460940,0.9739951491355900,560.6876831054690,795.8433227539060,0.9797487854957580,569.5615234375,859.9993896484380,0.996609091758728,466.3612060546880,865.964111328125,0.9885636568069460,411.878173828125,957.5037231445310,0.44283849000930800,364.7518005371090,957.6420288085940,0.08994123339653020,341.1982727050780,979.82666015625,0.13029718399047900,298.681640625,970.4674072265630,0.9835126996040340,373.49560546875,980.2337036132810,0.9995492696762090
630,899.0453491210940,314.99932861328100,0.480447918176651,559.8433837890630,584.4249267578130,0.9744298458099370,560.9389038085940,795.4385375976560,0.981573760509491,571.3320922851560,859.7279052734380,0.9965043067932130,468.2191467285160,865.964111328125,0.9931487441062930,417.9404296875,959.2792358398440,0.5165281891822820,369.7884216308590,957.9920654296880,0.09621037542819980,348.2062072753910,981.119140625,0.21459852159023300,298.681640625,975.0347290039060,0.9909883141517640,378.587646484375,982.4583740234380,0.9975168704986570
631,899.06787109375,314.98443603515600,0.4794124662876130,559.8433837890630,584.3709716796880,0.9749671816825870,561.0438842773440,795.0093383789060,0.9815617203712460,571.8174438476560,858.8114624023440,0.9964852333068850,468.63714599609400,867.5587158203130,0.9929494857788090,421.8677673339840,959.4873046875,0.710364043712616,371.7688293457030,960.52392578125,0.23366793990135200,350.1122741699220,982.229248046875,0.5089468359947210,302.4534912109380,978.747802734375,0.9960803389549260,380.9796142578130,984.7930297851560,0.9960470795631410
632,899.0711669921880,314.8427734375,0.47921934723854100,559.7840576171880,584.12890625,0.9745922684669500,561.2742309570310,794.2612915039060,0.9824823141098020,572.2642211914060,858.2476196289060,0.9968045949935910,468.682373046875,868.35400390625,0.9932720065116880,426.71820068359400,959.91552734375,0.9131749868392940,371.97735595703100,962.2062377929690,0.8557946085929870,351.2433166503910,982.5900268554690,0.8491635322570800,303.58868408203100,980.8660888671880,0.9876503348350530,388.5056457519530,984.9374389648440,0.9996429681777950
633,899.0711669921880,314.784912109375,0.4786427617073060,559.7840576171880,583.9669189453130,0.9755857586860660,561.2869262695310,793.4227905273440,0.9800758957862850,575.2564697265630,855.490478515625,0.9965405464172360,471.676025390625,869.5360107421880,0.9931840300560000,440.4137268066410,962.2067260742190,0.98728346824646,379.0204772949220,973.2218627929690,0.93829745054245,359.9786682128910,999.300537109375,0.9200735688209530,316.31988525390600,1011.852294921880,0.9931515455245970,407.6343688964840,993.5799560546880,0.9986851811409000
634,899.0711669921880,314.7239990234380,0.4776756763458250,559.7840576171880,583.9234619140630,0.9752995371818540,561.633544921875,792.7896118164060,0.9806755185127260,576.3156127929690,855.0286254882810,0.9975618124008180,472.248046875,871.0861206054690,0.9899455904960630,449.5898742675780,963.5331420898440,0.986207127571106,382.11236572265600,987.1127319335940,0.985690176486969,367.81756591796900,1006.9324340820300,0.9621186852455140,334.5661315917970,1019.9494018554700,0.9910439252853390,416.194580078125,997.02392578125,0.9986296892166140
635,899.0667114257810,314.6337585449220,0.47926461696624800,560.1625366210940,583.8526000976560,0.9780160784721380,562.131103515625,792.7437744140630,0.9815980195999150,577.2108764648440,855.0286254882810,0.9981678128242490,472.4998474121090,871.0861206054690,0.9850528836250310,455.90863037109400,963.5331420898440,0.9865352511405950,391.51165771484400,987.1127319335940,0.9887336492538450,369.3606872558590,1006.9324340820300,0.8712389469146730,347.9920959472660,1019.9494018554700,0.9818412065505980,420.7189636230470,997.02392578125,0.9993413090705870
636,899.059326171875,314.6124267578130,0.47883471846580500,560.183349609375,583.7644653320310,0.9784312844276430,562.5258178710940,792.6180419921880,0.9827572107315060,577.2325439453130,855.0286254882810,0.9981756210327150,472.7658996582030,871.0861206054690,0.9859655499458310,456.2557373046880,963.5331420898440,0.9859417080879210,391.8987121582030,987.1127319335940,0.9868054389953610,371.2579345703130,1006.9324340820300,0.9035932421684270,349.7777404785160,1019.9494018554700,0.9821803569793700,421.3290710449220,997.02392578125,0.99932861328125
